"","SpCode","SpID","Elev","SpSize","StiL","BlL","FrL","StiLtoBlL","LWbase","LW2nd","LW3rd","BasalPiL","BasiscPiL","AcroPiL","NeBasiPiL","BasiPiLtoPL","AcroPitoBasi","PP1toPP2","PP2toPP3","PP3toPP4","PP1to2toAll","NoFreeP","ProFreeP","WtoBl1","WtoBl2","WtoBl3","NBasitoBasi","BasPLtoLWbase","StiScL","StiScW","StiScWtoL1","StiSctoPP1","Perispore"
"1",1,1,3450,36,12.5,12,24.5,1.04,5.7,5.6,5,4,1.75,0.85,1.5,0.44,0.49,3.15,1.7,1.45,0.5,5,0.38,0.48,0.47,0.42,0.86,0.7,2.25,1,0.44,11.6,1
"2",1,2,3450,36,6.5,9,15.5,0.72,4.3,4.1,4.2,2.4,1.25,0.55,0.95,0.52,0.44,2.1,1.3,0.8,0.5,4,0.29,0.48,0.46,0.47,0.76,0.56,4.5,1,0.22,4.4,1
"3",1,3,3275,35,10,7,17,1.43,3.3,3.2,2.8,1.7,0.9,0.45,0.85,0.53,0.5,1.7,0.9,0.6,0.53,3,0.23,0.47,0.46,0.4,0.94,0.52,1.25,1,0.8,10.1,1
"4",1,4,3275,35,10.5,5.8,16.3,1.81,2.3,2.95,2.5,1.7,1.1,0.5,0.88,0.65,0.45,1.7,0.95,0.6,0.52,4,0.4,0.4,0.51,0.43,0.8,0.74,3.25,1,0.31,0.7,1
"5",1,5,1850,43.8,13,13.2,26.2,0.98,7.2,6.1,4.4,3.9,1.8,0.9,1.3,0.46,0.5,2.9,1.9,1.2,0.48,9,0.69,0.55,0.46,0.33,0.72,0.54,3.75,2.25,0.6,6.2,3
"6",1,6,1850,41,23.5,19.8,43.3,1.19,8.2,8,7.8,4.8,2.2,1,1.7,0.46,0.45,2.3,1.7,1.6,0.41,10,0.56,0.41,0.4,0.39,0.77,0.59,5,1,0.18,2.6,2
"7",1,7,1920,42.1,25.1,21.1,46.2,1.19,8.5,7.6,7,6,3,1,2,0.5,0.33,2.7,1.9,1.5,0.44,11,0.65,0.47,0.41,0.39,0.67,0.71,2.25,1,0.25,0,2
"8",1,8,3000,47.8,19.6,16.5,36.1,1.19,6.9,6.7,6,5.3,3,1.4,2.1,0.57,0.47,3.5,2.3,1.8,0.46,9,0.64,0.42,0.41,0.36,0.7,0.77,2.25,0.5,0.4,10.1,3
"9",1,9,3380,47,18.8,16.5,35.3,1.14,9.5,7.2,6.7,6.5,3.1,1.4,2.3,0.48,0.45,4.1,2.8,1.6,0.48,16,0.46,0.58,0.44,0.41,0.74,0.68,3,0.5,0.17,6.6,1
"10",1,10,4160,32.5,12,8.7,20.7,1.38,4,4.1,3.7,2.6,1.9,0.7,1,0.73,0.37,2.1,1.4,0.9,0.48,5,0.38,0.46,0.47,0.43,0.53,0.65,2.25,1,0.44,6.6,1
"11",1,11,3380,36.5,10.5,10.3,20.8,1.02,3.6,4.4,4.4,2.6,1.5,0.7,1.2,0.58,0.47,2.3,1.55,1,0.47,5,0.56,0.35,0.43,0.43,0.8,0.72,4.25,1,0.24,4,1
"12",1,12,2180,47,3.9,5.3,9.2,0.74,2.6,3,2.7,1.5,1,0.5,0.6,0.67,0.5,1,0.7,0.5,0.45,6,0.55,0.49,0.57,0.51,0.6,0.58,5,1,0.2,0,3
"13",1,13,2900,38,7.8,6.6,14.4,1.18,3.1,3.2,2.8,1.6,1,0.5,0.8,0.63,0.5,1.45,0.9,0.65,0.48,3,0.25,0.47,0.48,0.42,0.8,0.52,4.25,1,0.24,3.4,1
"14",1,14,3380,49,6.5,8.4,14.9,0.77,3,3.9,3.7,1.8,1.1,0.6,0.7,0.61,0.55,1.6,1.1,0.8,0.46,6,0.5,0.36,0.46,0.44,0.64,0.6,5.25,1,0.19,4.8,2
"15",1,15,3000,35,6.5,3.8,10.3,1.71,2.7,2.3,1.7,1,0.7,0.3,0.6,0.7,0.43,1,0.65,0.5,0.47,2,0.22,0.71,0.61,0.45,0.86,0.37,3.5,1,0.29,3.7,1
"16",1,16,3000,41,11.5,7.8,19.3,1.47,3.5,3.9,3.2,2.3,1.2,0.5,0.7,0.52,0.42,1.8,1.2,0.9,0.46,5,0.42,0.45,0.5,0.41,0.58,0.66,4.25,1.25,0.29,5.6,1
"17",1,17,2950,46,8,5.5,13.5,1.45,3.7,3.1,2.6,1.8,0.9,0.4,0.6,0.5,0.44,1,0.7,0.4,0.48,3,0.25,0.67,0.56,0.47,0.67,0.49,3.25,0.5,0.15,2.2,2
"18",1,18,2950,47,3.7,5.3,9,0.7,3.3,3,2.2,1.6,0.9,0.4,0.5,0.56,0.44,0.9,0.7,0.6,0.41,3,0.21,0.62,0.57,0.42,0.56,0.48,3.25,0.75,0.23,0,2
"19",1,19,3000,47,9.5,7.6,17.1,1.25,4,3.5,3.1,2,1,0.5,0.9,0.5,0.5,1.1,0.8,0.6,0.44,3,0.27,0.53,0.46,0.41,0.9,0.5,4,1,0.25,7.4,2
"20",1,20,3050,43,8.5,8.2,16.7,1.04,3.7,3,3,2.5,1,0.4,0.9,0.4,0.4,1.6,1.2,0.9,0.43,4,0.31,0.45,0.37,0.37,0.9,0.68,3.25,0.75,0.23,7.5,2
"21",1,21,3050,0,5.7,6,11.7,0.95,3.6,3.1,2.7,1.9,0.95,0.55,0.65,0.5,0.58,1,0.85,0.6,0.41,4,0.44,0.6,0.52,0.45,0.68,0.53,3.5,0.5,0.14,2.5,2
"22",1,22,3050,43,8,7.4,15.4,1.08,3.9,3.9,3.4,2.2,1,0.5,1,0.45,0.5,1.4,1,0.7,0.45,4,0.29,0.53,0.53,0.46,1,0.56,4.25,0.5,0.12,4.2,2
"23",1,23,3050,0,13.1,7.6,20.7,1.72,4.2,3.5,3,2,1.1,0.5,0.9,0.55,0.45,1.6,1.1,0.8,0.46,2,0.25,0.55,0.46,0.39,0.82,0.48,4,0.5,0.13,4.5,2
"24",1,24,2400,44,6,6.5,12.5,0.92,2.9,2.6,2,1.75,0.6,0.4,0.45,0.34,0.67,1,0.65,0.45,0.48,2,0.15,0.45,0.4,0.31,0.75,0.6,2.25,0.75,0.44,0,1
"25",1,25,2590,44,13,8,21,1.63,4,3.9,3.5,2.7,1,0.5,1,0.37,0.5,1.2,1,0.8,0.4,7,0.58,0.5,0.49,0.44,1,0.68,4.25,0.75,0.18,1.1,1
"26",1,26,3200,38,7.5,7.2,14.7,1.04,4.4,4.8,4.8,3.6,2,1.3,0.9,0.56,0.65,2.4,1.5,0.8,0.51,2,0.25,0.61,0.67,0.67,0.45,0.82,3.25,1.25,0.38,11.6,3
"27",1,27,3200,42,15,17,32,0.88,5.3,6.6,6,3.9,1.9,0.9,1.2,0.49,0.47,2.8,1.9,1.5,0.45,12,0.71,0.31,0.39,0.35,0.63,0.74,4.25,1,0.24,4.1,2
"28",1,28,3200,35,13,14.2,27.2,0.92,4.9,4,4,3.8,1.7,0.7,0.7,0.45,0.41,2,1.5,0.8,0.47,12,0.75,0.35,0.28,0.28,0.41,0.78,6,1,0.17,2.6,2
"29",1,29,4500,31.5,5.9,5.8,11.7,1.02,3.4,2.5,2.6,2.1,1.2,0.6,0.8,0.57,0.5,1.7,1,0.65,0.51,6,0.5,0.59,0.43,0.45,0.67,0.62,4,1,0.25,0,1
"30",1,30,2625,41,5,5.4,10.4,0.93,3.5,3.1,2.9,1.7,0.8,0.5,0.5,0.47,0.63,0.9,0.7,0.5,0.43,4,0.44,0.65,0.57,0.54,0.63,0.49,2.5,0.5,0.2,0.4,2
"31",1,31,2500,47.5,8.2,9.5,17.7,0.86,3.3,3.5,3.1,2.6,0.9,0.5,0.6,0.35,0.56,1.8,1.2,0.9,0.46,4,0.31,0.35,0.37,0.33,0.67,0.79,3.25,0.75,0.23,3,1
"32",1,32,2500,47,9.5,9.6,19.1,0.99,3.9,4.4,4,2.8,1.7,0.65,1.3,0.61,0.38,2,1.3,1,0.47,7,0.58,0.41,0.46,0.42,0.76,0.72,2.25,1.25,0.56,8.7,1
"33",1,33,1850,33,23.8,20,43.8,1.19,9.3,8.8,7.8,5.9,3.4,1.6,2.7,0.58,0.47,3.7,2.75,2.1,0.43,8,0.5,0.47,0.44,0.39,0.79,0.63,2.25,0.5,0.15,0,1
"34",1,35,3650,36,8.4,2.3,10.7,3.65,2.6,2.1,1.5,1.3,0.9,0.3,0.6,0.69,0.33,0.6,0.4,0.3,0.46,1,0.25,1.13,0.91,0.65,0.67,0.5,3.25,1,0.31,8.1,1
"35",1,36,2630,40.5,8.5,11.2,19.7,0.76,4.6,4.9,4.1,2.7,1.3,0.6,0.9,0.48,0.46,1.5,1.1,0.9,0.43,6,0.55,0.41,0.44,0.37,0.69,0.59,5,0.75,0.15,0.2,2
"36",1,37,2630,45.8,10.1,15,25.1,0.67,7.5,7,6.5,4.8,1.8,1,1.5,0.38,0.56,2.3,1.7,1.4,0.43,9,0.82,0.5,0.47,0.43,0.83,0.64,5,0.75,0.15,0,2
"37",1,38,1545,39,6.4,10.8,17.2,0.59,6.7,5.2,4.5,4.1,1.6,0.9,1.1,0.39,0.56,1.8,1.3,1.1,0.43,9,0.82,0.62,0.48,0.42,0.69,0.61,5,0.75,0.15,0,2
"38",1,39,1920,39,8.2,5.9,14.1,1.39,3.8,2.6,2.7,1.9,1,0.4,0.6,0.53,0.4,1.2,0.8,0.6,0.46,5,0.71,0.64,0.44,0.46,0.6,0.5,2.5,1,0.4,6.4,3
"39",1,40,1920,39,7.6,4.3,11.9,1.77,2.9,2.6,2.3,1.7,0.8,0.3,0.7,0.47,0.38,0.8,0.6,0.5,0.42,4,0.67,0.67,0.6,0.53,0.88,0.59,2.25,0.75,0.33,0.8,3
"40",1,41,1850,46.2,9.7,7.9,17.6,1.23,4.7,4.2,2.7,2.1,1.5,0.7,1.2,0.71,0.47,1.1,0.9,0.8,0.39,7,0.7,0.59,0.53,0.34,0.8,0.45,4,0.75,0.19,5.1,3
